,subject,congruency,rt,acc,task
261,1,congruent,0.401106091,1,flanker
262,1,congruent,0.468046586,0,flanker
263,1,congruent,0.551546293,1,flanker
264,1,congruent,0.401362108,1,flanker
265,1,incongruent,0.36773070999999996,1,flanker
266,1,incongruent,0.384715279,1,flanker
267,1,congruent,0.41807133599999996,1,flanker
268,1,incongruent,0.468162969,1,flanker
269,1,incongruent,0.468105644,1,flanker
270,1,congruent,0.685099812,1,flanker
271,1,congruent,0.384553302,1,flanker
272,1,incongruent,0.451441355,1,flanker
273,1,incongruent,0.368023956,1,flanker
274,1,congruent,0.38472211900000003,1,flanker
275,1,incongruent,0.35139551399999996,1,flanker
276,1,congruent,0.384749773,1,flanker
277,1,incongruent,0.334652591,1,flanker
278,1,congruent,0.55149008,1,flanker
279,1,incongruent,0.45148586999999996,1,flanker
280,1,incongruent,0.501515276,1,flanker
281,1,incongruent,0.368017576,1,flanker
282,1,incongruent,0.384801158,1,flanker
283,1,congruent,0.33467304200000003,1,flanker
284,1,congruent,0.384686423,1,flanker
285,1,incongruent,0.36796562899999996,1,flanker
286,1,incongruent,0.434860234,1,flanker
287,1,incongruent,0.468109441,1,flanker
288,1,congruent,0.451420481,1,flanker
289,1,congruent,0.384730197,1,flanker
290,1,incongruent,0.38465191800000004,1,flanker
291,1,incongruent,0.368063778,1,flanker
292,1,congruent,0.41807295699999997,1,flanker
293,1,incongruent,0.40115992699999997,1,flanker
294,1,congruent,0.368035708,1,flanker
295,1,incongruent,0.384728639,1,flanker
296,1,congruent,0.384678061,1,flanker
297,1,incongruent,0.434798363,1,flanker
298,1,congruent,0.434784309,1,flanker
299,1,incongruent,0.45146052600000003,1,flanker
300,1,congruent,0.36806606399999997,1,flanker
301,1,congruent,0.368005302,1,flanker
302,1,congruent,0.317946141,1,flanker
303,1,incongruent,0.418036433,1,flanker
304,1,congruent,0.33463744700000003,1,flanker
305,1,incongruent,0.451454475,1,flanker
306,1,congruent,0.33461014,0,flanker
307,1,congruent,0.384727882,1,flanker
308,1,incongruent,0.46818718000000004,1,flanker
